,feature,importance,fold
445,PREV_CODE_REJECT_REASON_LIMIT_MEAN,18,1
446,PREV_CODE_REJECT_REASON_SCO_MEAN,52,1
447,PREV_CODE_REJECT_REASON_SCOFR_MEAN,6,1
448,PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
449,PREV_CODE_REJECT_REASON_VERIF_MEAN,0,1
450,PREV_CODE_REJECT_REASON_XAP_MEAN,33,1
451,PREV_CODE_REJECT_REASON_XNA_MEAN,2,1
452,PREV_CODE_REJECT_REASON_nan_MEAN,0,1
453,PREV_NAME_TYPE_SUITE_Children_MEAN,13,1
454,PREV_NAME_TYPE_SUITE_Family_MEAN,40,1
455,PREV_NAME_TYPE_SUITE_Groupofpeople_MEAN,0,1
456,PREV_NAME_TYPE_SUITE_Other_A_MEAN,9,1
457,PREV_NAME_TYPE_SUITE_Other_B_MEAN,3,1
458,PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,20,1
459,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,132,1
460,PREV_NAME_TYPE_SUITE_nan_MEAN,143,1
461,PREV_NAME_CLIENT_TYPE_New_MEAN,83,1
462,PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,76,1
463,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,32,1
464,PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
465,PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
466,PREV_NAME_GOODS_CATEGORY_AdditionalService_MEAN,0,1
467,PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
468,PREV_NAME_GOODS_CATEGORY_AudioVideo_MEAN,27,1
469,PREV_NAME_GOODS_CATEGORY_AutoAccessories_MEAN,2,1
470,PREV_NAME_GOODS_CATEGORY_ClothingandAccessories_MEAN,9,1
471,PREV_NAME_GOODS_CATEGORY_Computers_MEAN,29,1
472,PREV_NAME_GOODS_CATEGORY_ConstructionMaterials_MEAN,11,1
473,PREV_NAME_GOODS_CATEGORY_ConsumerElectronics_MEAN,31,1
474,PREV_NAME_GOODS_CATEGORY_DirectSales_MEAN,0,1
475,PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
476,PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
477,PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,51,1
478,PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,1,1
479,PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
480,PREV_NAME_GOODS_CATEGORY_HouseConstruction_MEAN,0,1
